frame,time_s,knee_angle_deg,torso_lean_deg,jitter_px,knee_angle_smooth,torso_lean_smooth,jitter_smooth
36.0,1.1976119402985075,173.43946838378906,3.4407495323649724,4.790541286757326,172.597176445855,3.6211969322628446,11.573080195320978
37.0,1.2308789386401326,173.99655151367188,3.569519075548896,18.065773241758404,172.67437574598523,3.634842263327705,9.36527445581224
38.0,1.2641459369817578,173.26011657714844,4.673167771538114,7.220924869124337,173.02271185980902,3.895807186762492,9.899686813354492
39.0,1.2974129353233832,173.7545166015625,3.7877738049753913,22.765518978124184,173.29190063476562,3.922030952241686,9.422364658779568
40.0,1.3306799336650084,173.3216094970703,4.177455242333684,8.65020361452928,173.34352111816403,4.024699184629653,8.704796115557352
41.0,1.3639469320066335,172.57894897460938,3.51232165856651,5.664849482157128,173.17733086480033,4.135151889589097,9.209768520461187
42.0,1.3972139303482587,175.23023986816406,4.692247269283701,6.247768435842997,173.39957851833765,4.409306340747409,7.994995289378696
43.0,1.4304809286898839,172.58567810058594,3.9318277713555396,3.5166567624894114,173.47001987033417,4.557935476303101,7.6829738749398135
44.0,1.4637479270315092,171.924560546875,4.437230249803083,1.4209295262871624,173.54201083713107,4.70701519648234,6.996039933628506
45.0,1.4970149253731344,171.94375610351562,4.434823803991362,9.335292424027955,173.61637539333768,4.839463816748725,6.782332168685064
46.0,1.5302819237147596,175.9967803955078,6.036909206419736,7.132814121990395,173.82372707790796,5.185776366127862,7.160058511628044
47.0,1.5635489220563847,173.8940887451172,6.010830139648411,4.412732110882918,173.65159776475696,5.335061576631334,6.723059005207484
48.0,1.59681592039801,174.40243530273438,5.12949135927316,16.583112554739998,173.74088541666669,5.545661290486653,6.548697458373175
49.0,1.6300829187396353,173.9908905029297,5.369492817081551,6.726833867481868,173.88241746690534,5.651560624440511,6.907741361194186
